Sensor ID,Sensor Type,Location,Timestamp,Value,Risk Level
S30,Motion Sensor,Room A3,2025-01-06 09:10:30,3.0,Low
S5,Temperature Sensor,Room A3,2025-01-03 16:15:08,,High
S35,Temperature Sensor,Room A1,2025-01-05 02:19:26,30.2,Low
S21,Temperature Sensor,Room A1,2025-01-01 03:25:17,57.5,High
S3,Motion Sensor,Room B4,2025-01-01 23:58:32,0.0,Medium
S10,Temperature Sensor,Room A2,2025-01-03 10:36:10,33.6,Low
S21,Temperature Sensor,Room B1,2025-01-07 04:07:25,69.1,High
S24,Temperature Sensor,Room C2,2025-01-04 08:13:49,28.3,Low
S2,Temperature Sensor,Room A1,2025-01-03 05:57:37,36.3,Low
S44,Motion Sensor,Room B4,2025-01-06 01:23:57,,Low
S46,Temperature Sensor,Room B1,2025-01-01 11:28:07,72.8,High
S48,Fire Alarm,Room B2,2025-01-01 09:25:34,0.0,Low
S9,Motion Sensor,Room A1,2025-01-03 01:03:41,-5.0,Low
S7,Temperature Sensor,Room B4,2025-01-01 09:13:11,,Low
S32,Fire Alarm,Room B5,2025-01-06 08:49:02,1.0,High
S45,Temperature Sensor,Room C3,2025-01-04 22:58:45,41.6,Low
S22,Temperature Sensor,Room A5,2025-01-03 22:10:57,59.5,High
S8,Temperature Sensor,Room C3,2025-01-04 21:31:57,46.7,Low
S20,Fire Alarm,Room C4,2025-01-06 22:37:28,0.0,Low
S22,Motion Sensor,Room A3,2025-01-07 14:48:25,5.0,Low
S31,Temperature Sensor,Room B3,2025-01-07 06:09:09,88.7,High
S19,Temperature Sensor,Room C4,2025-01-07 17:42:48,39.3,Low
S2,Fire Alarm,Room B3,2025-01-03 01:22:36,0.0,Low
S50,Motion Sensor,Room A5,2025-01-02 13:19:03,1.0,Low
S12,Temperature Sensor,Room A4,2025-01-06 07:08:27,73.0,High
S18,Temperature Sensor,Room B3,2025-01-07 23:11:08,68.1,High
S8,Temperature Sensor,Room B3,2025-01-01 13:27:13,24.1,Low
S42,Fire Alarm,Room B3,2025-01-04 01:51:04,0.0,Low
S3,Fire Alarm,Room B2,2025-01-06 13:48:31,1.0,High
S25,Motion Sensor,Room C3,2025-01-02 17:38:02,5.0,Low
S17,Temperature Sensor,Room C2,2025-01-04 14:43:17,91.9,High
S24,Motion Sensor,Room A3,2025-01-06 13:44:58,10.0,Low
S38,Fire Alarm,Room A5,2025-01-04 16:33:53,1.0,High
S33,Motion Sensor,Room C1,2025-01-01 19:44:00,4.0,Low
S19,Temperature Sensor,Room A4,2025-01-07 18:30:50,87.9,High
S6,Fire Alarm,Room B5,2025-01-05 23:02:16,0.0,Low
S20,Motion Sensor,Room C5,2025-01-05 12:59:52,,Low
S2,Motion Sensor,Room C4,2025-01-05 03:48:38,,Low
S4,Temperature Sensor,Room C5,2025-01-05 19:20:33,86.6,High
S26,Motion Sensor,Room A5,2025-01-05 09:56:28,-5.0,Low
S44,Temperature Sensor,Room C1,2025-01-01 23:02:27,87.8,High
S29,Temperature Sensor,Room C1,2025-01-04 01:10:17,71.4,High
S32,Motion Sensor,Room C5,2025-01-05 22:38:53,4.0,Low
S33,Fire Alarm,Room C1,2025-01-01 23:11:38,1.0,High
S34,Temperature Sensor,Room A1,2025-01-02 02:50:30,150.0,High
S42,Motion Sensor,Room B3,2025-01-07 22:10:16,,Medium
S12,Temperature Sensor,Room C2,2025-01-04 18:43:23,94.7,High
S14,Fire Alarm,Room B1,2025-01-05 23:03:06,0.0,Low
S17,Motion Sensor,Room A5,2025-01-06 21:56:41,1.0,Low
S24,Motion Sensor,Room C5,2025-01-07 02:22:36,9.0,Low
S17,Motion Sensor,Room A4,2025-01-05 23:39:53,6.0,Low
S12,Motion Sensor,Room C5,2025-01-02 10:40:27,10.0,Low
S7,Fire Alarm,Room C4,2025-01-05 01:33:11,1.0,High
S26,Fire Alarm,Room B1,2025-01-01 07:32:26,1.0,High
S50,Fire Alarm,Room C5,2025-01-06 20:10:17,0.0,Low
S7,Temperature Sensor,Room A2,2025-01-03 17:16:47,150.0,High
S35,Fire Alarm,Room A3,2025-01-07 09:56:04,0.0,Low
S29,Motion Sensor,Room C3,2025-01-03 04:12:28,0.0,Medium
S40,Motion Sensor,Room A1,2025-01-01 20:14:01,1.0,Low
S43,Fire Alarm,Room B3,2025-01-02 06:40:20,0.0,Low
S30,Motion Sensor,Room B2,2025-01-05 16:39:24,7.0,Low
S8,Fire Alarm,Room A2,2025-01-02 01:58:24,0.0,Low
S31,Temperature Sensor,Room A4,2025-01-03 10:13:55,67.6,High
S50,Temperature Sensor,Room C4,2025-01-07 06:27:40,46.7,Low
S22,Temperature Sensor,Room A4,2025-01-01 23:38:02,69.8,High
S48,Fire Alarm,Room B5,2025-01-05 12:22:35,,High
S44,Temperature Sensor,Room B1,2025-01-02 00:25:24,78.7,High
S39,Motion Sensor,Room A3,2025-01-02 09:03:26,5.0,Low
S34,Temperature Sensor,Room A2,2025-01-01 06:17:33,,High
S14,Temperature Sensor,Room B3,2025-01-07 09:14:28,25.7,Low
S49,Motion Sensor,Room A4,2025-01-04 19:12:49,1.0,Low
S50,Motion Sensor,Room A5,2025-01-04 03:15:53,6.0,Low
S5,Fire Alarm,Room A3,2025-01-05 07:22:08,,Low
S28,Fire Alarm,Room C4,2025-01-06 23:18:57,1.0,High
S6,Motion Sensor,Room C1,2025-01-07 02:38:42,8.0,Low
S36,Temperature Sensor,Room A4,2025-01-02 08:25:58,48.0,Low
S37,Temperature Sensor,Room A4,2025-01-05 22:00:30,56.7,High
S15,Fire Alarm,Room B3,2025-01-03 05:38:29,0.0,Low
S20,Motion Sensor,Room A2,2025-01-01 17:34:57,1.0,Low
S11,Fire Alarm,Room B4,2025-01-01 10:49:38,0.0,Low
S13,Fire Alarm,Room A4,2025-01-07 03:16:57,0.0,Low
S2,Temperature Sensor,Room A1,2025-01-05 17:18:53,26.0,Low
S39,Fire Alarm,Room B1,2025-01-06 08:43:08,,Low
S32,Fire Alarm,Room C1,2025-01-01 00:10:35,1.0,High
S22,Temperature Sensor,Room A4,2025-01-03 00:19:54,54.4,High
S8,Temperature Sensor,Room C4,2025-01-02 13:27:46,46.3,Low
S49,Temperature Sensor,Room B1,2025-01-02 03:00:26,20.1,Low
S47,Temperature Sensor,Room A3,2025-01-05 21:27:25,83.4,High
S36,Motion Sensor,Room B4,2025-01-04 13:00:20,6.0,Low
S29,Temperature Sensor,Room B2,2025-01-04 21:10:09,65.9,High
S34,Fire Alarm,Room C1,2025-01-06 04:16:33,0.0,Low
S23,Temperature Sensor,Room B3,2025-01-02 08:56:21,67.9,High
S7,Temperature Sensor,Room C4,2025-01-04 02:43:20,67.6,High
S50,Motion Sensor,Room C5,2025-01-03 00:01:25,4.0,Low
S48,Motion Sensor,Room C2,2025-01-03 11:30:22,,Low
S45,Temperature Sensor,Room B4,2025-01-05 11:25:23,55.0,High
S47,Fire Alarm,Room B2,2025-01-05 23:59:55,0.0,Low
S7,Fire Alarm,Room B3,2025-01-01 20:59:00,,Low
S4,Temperature Sensor,Room C3,2025-01-01 12:23:48,57.3,High
S6,Motion Sensor,Room C2,2025-01-07 20:04:43,3.0,Low
S9,Temperature Sensor,Room A4,2025-01-02 09:52:23,34.9,Low
S44,Fire Alarm,Room C1,2025-01-06 19:21:47,0.0,Low
S17,Temperature Sensor,Room C1,2025-01-01 00:38:05,,Low
S37,Motion Sensor,Room B4,2025-01-04 21:51:56,4.0,Low
S26,Fire Alarm,Room A5,2025-01-07 23:48:56,2.0,Low
S6,Motion Sensor,Room C5,2025-01-06 07:53:58,-5.0,Low
S32,Temperature Sensor,Room C2,2025-01-07 02:36:30,,Low
S33,Fire Alarm,Room C2,2025-01-03 07:08:37,0.0,Low
S13,Temperature Sensor,Room A3,2025-01-06 10:37:30,35.0,Low
S42,Motion Sensor,Room B2,2025-01-07 08:28:49,8.0,Low
S45,Motion Sensor,Room A2,2025-01-03 12:22:12,,Low
S9,Temperature Sensor,Room A3,2025-01-07 05:56:48,89.3,High
S35,Fire Alarm,Room B4,2025-01-05 16:39:06,0.0,Low
S46,Fire Alarm,Room B2,2025-01-07 11:51:02,0.0,Low
S20,Fire Alarm,Room C4,2025-01-06 23:12:14,2.0,Low
S12,Temperature Sensor,Room C2,2025-01-05 08:01:12,97.0,High
S10,Motion Sensor,Room B3,2025-01-02 01:56:09,2.0,Low
S13,Motion Sensor,Room C5,2025-01-05 15:48:01,9.0,Low
S17,Temperature Sensor,Room C2,2025-01-04 14:43:17,91.9,High
S8,Temperature Sensor,Room B3,2025-01-01 13:27:13,24.1,Low
S7,Temperature Sensor,Room A1,2025-01-03 10:27:11,32.1,Low
S21,Motion Sensor,Room B1,2025-01-06 16:53:51,5.0,Low
S10,Fire Alarm,Room A5,2025-01-06 22:06:31,1.0,High
S22,Motion Sensor,Room A3,2025-01-07 14:48:25,5.0,Low
S32,Motion Sensor,Room C2,2025-01-03 21:21:53,3.0,Low
S32,Fire Alarm,Room B5,2025-01-06 08:49:02,2.0,High
S19,Temperature Sensor,Room A4,2025-01-07 18:30:50,87.9,High
S9,Fire Alarm,Room B5,2025-01-04 19:44:06,,Low
S3,Temperature Sensor,Room C3,2025-01-02 21:27:55,84.0,High
S46,Motion Sensor,Room C4,2025-01-07 16:42:19,7.0,Low
S20,Fire Alarm,Room C4,2025-01-06 22:37:28,0.0,Low
S3,Motion Sensor,Room C3,2025-01-07 11:09:39,3.0,Low
S47,Temperature Sensor,Room A3,2025-01-05 21:27:25,83.4,High
S49,Temperature Sensor,Room A4,2025-01-04 12:46:31,75.2,High
S21,Fire Alarm,Room B4,2025-01-03 15:30:17,1.0,High
S19,Motion Sensor,Room A2,2025-01-01 01:01:36,10.0,Low
S44,Fire Alarm,Room B5,2025-01-07 22:34:43,0.0,Low
S4,Motion Sensor,Room C5,2025-01-07 11:18:44,3.0,Low
S6,Fire Alarm,Room B5,2025-01-05 23:02:16,0.0,Low
S26,Motion Sensor,Room A5,2025-01-05 09:56:28,9.0,Low
